SEASON,TIER,video_id,BOSS,TEAM,DAMAGE,CREATOR,VALIDATE_LINK
107,L5,mnDoSbll_VM,Cawl,"Lav, Kari, Traj, Kharn, Dante","1,800,000",Kitty Bebop,https://www.youtube.com/watch?v=mnDoSbll_VM
107,L5,Ew-FrA9wJpo,Cawl,"Neuro, Abrax, Ahri, Abaddon, Archi","1,450,000",Peste,https://www.youtube.com/watch?v=Ew-FrA9wJpo
107,L4,XLcECO6lJA0,Avatar,"Lav, Kari, Traj, Boss, Vit","2,100,000",Prufrock,https://www.youtube.com/watch?v=XLcECO6lJA0
107,L4,LoL5L2SSLgA,Avatar,"Rho, Tan, Actus, Vit, Boss","1,390,000",Yagyuu,https://www.youtube.com/watch?v=LoL5L2SSLgA
107,L3,JlRWPKEdzac,Ghaz,"Lav, Kari, Traj, Aesoth, Vit","2,120,000",Don’t Call Me Shirley Tacticus Replays,https://www.youtube.com/watch?v=JlRWPKEdzac
107,L3,z0KVejHSRCg,Ghaz,"Farsight, Revas, Actus, Darkstrider, Eldy","1,650,000",Adeptus Gorditas,https://www.youtube.com/watch?v=z0KVejHSRCg
107,L2,-EMJ5hshW4k,Riptide,"Rho, Tan, Actus, Vit, Ammuk","1,740,000",Yagyuu,https://www.youtube.com/watch?v=-EMJ5hshW4k
107,L2,Mrpiynu9dMM,Riptide,"Lav, Kari, Traj, Boss, Aesoth","1,470,000",Mawg,https://www.youtube.com/watch?v=Mrpiynu9dMM
107,L1,JedfR5QadFc,Screamer,"Lav, Kari, Traj, Boss, Aesoth","2,500,000",Kitty Bebop,https://www.youtube.com/watch?v=JedfR5QadFc
107,L1,JR_BIQyVoeM,Screamer,"Rho, Tan, Actus, Vit, Ammuk","2,160,000",Yagyuu,https://www.youtube.com/watch?v=JR_BIQyVoeM
108,M3,AdOYEMc4DFQ,Riptide,"Neuro, Abrax, Ahri, Abaddon, Archi, Zkar","1,090,000",Painhawk,https://www.youtube.com/watch?v=AdOYEMc4DFQ
108,M3,d31DFuGWo1o,Riptide,"Neuro, Abrax, Ahri, Yaz, Archi, Zkar","784,000",Peste,https://www.youtube.com/watch?v=d31DFuGWo1o
108,M3,szWcH09_2LU,Riptide,"Rho, Tan, Actus, Vit, Traj, Galatian","800,000",Prufrock,https://www.youtube.com/watch?v=szWcH09_2LU
108,M3,etAslUFII0M,Riptide,"Rho, Tan, Actus, Vit, Traj, Galatian","1,370,000",Painhawk,https://www.youtube.com/watch?v=etAslUFII0M
108,M3,LuHF1f-35nk,Riptide,"Kari, Traj, Kharn, Rag, Dante, Biovore","779,000",Ulf,https://www.youtube.com/watch?v=LuHF1f-35nk
108,M3,s_obrhKXf_0,Riptide,"Kari, Traj, Kharn, Rag, Dante, Galatian","974,000",Kyle UK 40k,https://www.youtube.com/watch?v=s_obrhKXf_0
108,M2,C9WE_nKePzY,Dorn,"Rho, Tan, Actus, Vit, Sho, Biovore","1,260,000",Prufrock,https://www.youtube.com/watch?v=C9WE_nKePzY
108,M2,QKkrFZCqphc,Dorn,"Lav, Kari, Traj, Boss, Vit, Biovore","1,200,000",Un4given,https://www.youtube.com/watch?v=QKkrFZCqphc
108,M2,7AjqewVvEHo,Dorn,"Neuro, Abrax, Ahri, Abaddon, Archi, Zkar","1,320,000",Painhawk,https://www.youtube.com/watch?v=7AjqewVvEHo
108,M1,Gf6pBl8OfQ8,Screamer,"Lav, Kari, Traj, Boss, Aesoth, PBC","1,780,000",Lyell,https://www.youtube.com/watch?v=Gf6pBl8OfQ8
108,M1,CNLZt8TyNfQ,Screamer,"Rho, Tan, Actus, Vit, Ammuk, Reanimator","2,550,000",Yagyuu,https://www.youtube.com/watch?v=CNLZt8TyNfQ
108,M1,YJWuFS-o0jI,Screamer,"Farsight, Revas, Actus, Darkstrider, Eldy, PBC","950,000",JurassicKyle,https://www.youtube.com/watch?v=YJWuFS-o0jI
108,L5,0dVILvgFqiw,Hive Tyrant,"Rho, Tan, Actus, Boss, Helb, Galatian","2,000,000",GarviLoken,https://www.youtube.com/watch?v=0dVILvgFqiw
108,L5,D6T29ec9uWI,Hive Tyrant,"Lav, Kari, Traj, Boss, Atla, Galatian","1,940,000",Painhawk,https://www.youtube.com/watch?v=D6T29ec9uWI
108,L4,2Q-iQfjjOLw,Tervigon,"Lav, Kari, Traj, Boss, Helb, Galatian","2,780,000",Painhawk,https://www.youtube.com/watch?v=2Q-iQfjjOLw
108,L4,NK5sd4-g5zg,Tervigon,"Rho, Tan, Actus, Vit, Helb, Galatian","2,190,000",Machiep,https://www.youtube.com/watch?v=NK5sd4-g5zg
108,L3,0dVILvgFqiw,Hive Tyrant,"Rho, Tan, Actus, Boss, Helb, Galatian","2,000,000",GarviLoken,https://www.youtube.com/watch?v=0dVILvgFqiw
