Order_Old,Final_STATUS,Boss,Tier,Damage,Team,Replay,Team (no MoW),view_count,upload_date,creator_name,creator_channel_link,team_key,tier_weight,days_old,date_weight,damage_num,replay_scaled_damage,team_frequency_count,frequency_weight,meta_score
106,,Mortarion,L4,"710,000","Kari, Traj, Kharn, Helb, Dante, Biovore",https://www.youtube.com/shorts/vbRg65pr_sc,"Kari, Traj, Kharn, Helb, Dante",1704,2025-09-15,Blackmane Gaming,https://www.youtube.com/channel/UCLrB27ANGanANplNi4IhQ-Q,Dante|Helb|Kari|Kharn|Traj,1.25,261,0.6241872375,710000,887500,1,0.25,138491.5433
105,,Mortarion,L4,"560,000","Neuro, Abrax, Ahri, Yaz, Rosie, Biovore",https://www.youtube.com/shorts/Lwomj4WlmME,"Neuro, Abrax, Ahri, Yaz, Rosie",2586,2024-10-29,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Abrax|Ahri|Neuro|Rosie|Yaz,1.25,582,0.349603458,560000,700000,1,0.25,61180.60514
138,META,Riptide,L1,"1,260,000","Rho, Tan, Actus, Vit, Traj, Galatian",https://www.youtube.com/shorts/78_c9nfzsWU,"Rho, Tan, Actus, Vit, Traj",3014,2026-02-03,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Actus|Rho|Tan|Traj|Vit,1,120,0.8051780016,1260000,1260000,6,1,1014524.282
140,META,Riptide,L1,"1,230,000","Rho, Tan, Actus, Vit, Traj, Galatian",https://www.youtube.com/shorts/_3xOSaCOTP0,"Rho, Tan, Actus, Vit, Traj",1394,2025-12-31,ge0desic,https://www.youtube.com/channel/UCQMkKrvO9K-W3KWwZst7mMQ,Actus|Rho|Tan|Traj|Vit,1,154,0.7572302232,1230000,1230000,6,1,931393.1745
143,META,Riptide,L3,"1,370,000","Rho, Tan, Actus, Vit, Traj, Galatian",https://www.youtube.com/shorts/etAslUFII0M,"Rho, Tan, Actus, Vit, Traj",4723,2026-02-16,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Actus|Rho|Tan|Traj|Vit,1.17,107,0.8243031226,1370000,1602900,6,1,1321275.475
144,META,Riptide,L3,"1,000,000","Rho, Tan, Actus, Vit, Traj, Galatian",https://www.youtube.com/shorts/1u-_taSR8vg,"Rho, Tan, Actus, Vit, Traj",6498,2025-10-03,Painhawk,https://www.youtube.com/channel/UC8qFCktrNNT-Ey8R4iEvoRA,Actus|Rho|Tan|Traj|Vit,1.17,243,0.6448090132,1000000,1170000,6,1,754426.5454
151,META,Riptide,M1,"800,000","Rho, Tan, Actus, Vit, Traj, Galatian",https://www.youtube.com/shorts/szWcH09_2LU,"Rho, Tan, Actus, Vit, Traj",1041,2026-03-27,Prufrock,https://www.youtube.com/channel/UCp28AuIcOq1yiyIT8niZyHQ,Actus|Rho|Tan|Traj|Vit,1.42,68,0.8844475377,800000,1136000,6,1,1004732.403
150,META,Riptide,M1,"677,000","Rho, Tan, Actus, Vit, Traj, Galatian",https://www.youtube.com/shorts/RX1-LRDdIs8,"Rho, Tan, Actus, Vit, Traj",1127,2026-01-16,Yagyuu,https://www.youtube.com/channel/UCy_HCBrQPjkDPhRXY5EZjhQ,Actus|Rho|Tan|Traj|Vit,1.42,138,0.7794274308,677000,961340,6,1,749294.7664
152,,Riptide,M1,963000,"Neuro, Abrax, Ahri, Archi, Abaddon, Zkar",https://www.youtube.com/shorts/8RnliSzk_w8,"Neuro, Abrax, Ahri, Abaddon, Archi",2469,2026-04-06,KaiserArctan - Tacticus,https://www.youtube.com/channel/UC6chPaP2oyJywNaFPdVMypQ,Abaddon|Abrax|Ahri|Archi|Neuro,1.42,58,0.9005636614,963000,1367460,1,0.1666666667,205247.4641
139,,Riptide,L1,"934,000","Rag, Kari, Traj, Kharn, Dante, Galatian",https://www.youtube.com/shorts/LE67VKUle2c,"Rag, Kari, Traj, Kharn, Dante",3706,2025-12-31,KaiserArctan - Tacticus,https://www.youtube.com/channel/UC6chPaP2oyJywNaFPdVMypQ,Dante|Kari|Kharn|Rag|Traj,1,154,0.7572302232,934000,934000,3,0.5,353626.5142
